L,U,V,t,β,δ,uS,QuS,Converged,I,f,g,g0,ΔT,μ,Layer
256,0.0,0.0,1.0,100.0,0.0,0.4052540592967757,0.9447155553945485,true,30,-0.810759363929386,0.2,0.2,1.375699016,0.0,0
256,0.0,0.4,1.0,100.0,0.0,0.4052496932618992,0.9446307746842075,true,30,-0.8107673683609431,0.2,0.2,0.637425256,0.0,0
256,0.0,0.8,1.0,100.0,0.0,0.40524393549204907,0.9444984094593156,true,30,-0.8107760580249801,0.2,0.2,0.622140479,0.0,0
256,0.0,1.2,1.0,100.0,0.0,0.4052361803991564,0.9442890820587913,true,30,-0.810785247542495,0.2,0.2,0.625529517,0.0,0
256,0.0,1.6,1.0,100.0,0.0,0.4052254662943655,0.9439508950837006,true,30,-0.8107944678979051,0.2,0.2,0.618620828,0.0,0
256,0.0,2.0,1.0,100.0,0.0,0.4052101856635011,0.9433865679137066,true,30,-0.8108026582908586,0.2,0.2,0.619600008,0.0,0
256,0.0,2.4,1.0,100.0,0.0,0.4051874668737676,0.9423991711882129,true,30,-0.810807454979122,0.2,0.2,0.629324381,0.0,0
256,0.0,2.8,1.0,100.0,0.0,0.4051517149290952,0.940548388890794,true,30,-0.8108033739375667,0.2,0.2,0.626445812,0.0,0
256,0.0,3.2,1.0,100.0,0.0,0.40509069657556207,0.9367126375934287,true,30,-0.8107765216831926,0.2,0.2,0.628615481,0.0,0
256,0.0,3.6,1.0,100.0,0.0,0.4049730278656961,0.9274729169874707,true,30,-0.8106862680929896,0.2,0.2,0.625432641,0.0,0
256,0.0,4.0,1.0,100.0,0.0,0.40469623277305755,0.8991931669810604,true,30,-0.8103829805265129,0.2,0.2,0.622793822,0.0,0
256,0.0,0.0,1.0,100.0,0.05,0.40322288683389584,0.938429381098338,true,30,-0.8065961710168777,0.2,0.2,29.077779567,0.18025941082719005,0
256,0.0,0.4,1.0,100.0,0.05,0.40321948208686054,0.938363610470283,true,30,-0.8066024176396039,0.2,0.2,29.451382895,0.16571970900227778,0
256,0.0,0.8,1.0,100.0,0.05,0.4032150354185499,0.9382621506337507,true,30,-0.8066091393908719,0.2,0.2,29.610893671,0.1511978222367927,0
256,0.0,1.2,1.0,100.0,0.05,0.40320907663420336,0.938102016580733,true,30,-0.8066162220059512,0.2,0.2,29.607849412,0.13669546203994976,0
256,0.0,1.6,1.0,100.0,0.05,0.40320083839798226,0.9378412430947058,true,30,-0.8066233523816015,0.2,0.2,29.646845417,0.12221424612803115,0
256,0.0,2.0,1.0,100.0,0.05,0.4031889966148429,0.9373982123300761,true,30,-0.8066297743657768,0.2,0.2,29.426523381,0.10775606375235348,0
256,0.0,2.4,1.0,100.0,0.05,0.40317109988532923,0.9366010078755149,true,30,-0.806633691005332,0.2,0.2,29.607348194,0.09332426015010571,0
256,0.0,2.8,1.0,100.0,0.05,0.4031421799511997,0.9350486761889876,true,30,-0.8066306522260421,0.2,0.2,29.713603532,0.07892669012871228,0
256,0.0,3.2,1.0,100.0,0.05,0.403090901204026,0.9316747481673548,true,30,-0.8066086176492768,0.2,0.2,29.643366836,0.06458290434696555,0
256,0.0,3.6,1.0,100.0,0.05,0.40298696504081344,0.9231099625091055,true,30,-0.8065301113864773,0.2,0.2,29.448242544,0.050340202576689634,0
256,0.0,4.0,1.0,100.0,0.05,0.4027292658800734,0.8958556926920158,true,30,-0.8062512116583843,0.2,0.2,29.395226228,0.03630702896991275,0
