L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,Converged,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.4052305930846236,-1.3877787807814457e-17,0.0,0.0,0.0,0.5961535021183906,0.19531250000000003,0.1953125,0.1953125,0.1953125,true,11,-1.6212287122694495,0.5,0.5,0.54975338,0.0
128,0.0,0.1,1.0,100.0,0.0,0.40522991672814745,-6.230766066844806e-7,6.465017015017802e-7,0.00024127833750502893,0.0,0.14920479782298823,0.010951975985045152,0.061226473437704376,0.9672472842612314,0.04882812499999999,true,13,-1.6048075520134462,0.5,0.5,0.189026382,0.0
128,0.0,0.2,1.0,100.0,0.0,0.40522915472126764,-7.770437071563663e-12,2.514738907911186e-9,0.0009366457478211201,2.710505431213761e-20,0.00027019015380602696,4.786756721133375e-8,0.00011405543634272297,0.9051130377281571,4.768371582027844e-5,true,23,-1.5883863989407803,0.5,0.5,0.308830363,0.0
128,0.0,0.3,1.0,100.0,0.0,0.40520597133895103,-2.2967738821932926e-14,6.0069684822009264e-12,0.020907962994276982,0.0,0.0022279788537415968,8.396336275546841e-10,1.7368003024252526e-7,0.9492151674174789,2.3283063936372587e-8,true,34,-1.5719656048083215,0.5,0.5,0.454614586,0.0
128,0.0,0.4,1.0,100.0,0.0,0.4049700225386603,-1.458344794924571e-8,9.584097336803204e-7,0.05831254688316875,3.469446951953614e-18,0.030267034414444005,0.0003018404640353353,0.01988451927664353,0.962888403287232,0.006103515624990971,true,16,-1.5557312985948828,0.5,0.5,0.214928555,0.0
128,0.0,0.5,1.0,100.0,0.0,0.40454228953335913,-9.077367243981449e-7,3.1848863186020285e-5,0.08323585666727079,1.734723475976807e-18,0.6077445979031371,0.010805649998835858,0.5054490592849873,0.5109874829475336,0.19531249999998798,true,11,-1.539848360444762,0.5,0.5,0.149166379,0.0
128,0.0,0.6,1.0,100.0,0.0,0.403891044855909,-8.876288375286867e-7,2.7477561350147065e-5,0.10563206478368267,0.0,0.26322904243958334,0.010551234702591632,0.3473410148241308,0.9947263096966863,0.09765624999999846,true,12,-1.524409058798669,0.5,0.5,0.162352857,0.0
128,0.0,0.7,1.0,100.0,0.0,0.40294742128158645,-3.145404687820985e-7,8.118174805473366e-6,0.1273839880431099,0.0,0.0074964914710262676,0.003207472129195907,0.08406380270816786,0.8799817846431024,0.012207031250002588,true,15,-1.5095105622415474,0.5,0.5,0.198903302,0.0
128,0.0,0.8,1.0,100.0,0.0,0.40174009761488316,-3.447290101155076e-7,7.592180502687508e-6,0.14734862870997356,-3.469446951953614e-18,0.039278676023823955,0.0029532794860886095,0.06570995639328792,0.8404631600236745,0.0061035156250114,true,16,-1.4952278237555965,0.5,0.5,0.215063822,0.0
128,0.0,0.9,1.0,100.0,0.0,0.40028285135676706,-6.189051571930948e-7,1.2011347179302374e-5,0.16557950305889163,-6.938893903907228e-18,0.06379733454375813,0.004506093163241124,0.08820440014106512,0.9269088115961277,0.0061035156250277825,true,16,-1.4816138794076243,0.5,0.5,0.215012286,0.0
128,0.0,1.0,1.0,100.0,0.0,0.39858512395699697,-1.069013559007459e-6,1.8731258696535677e-5,0.18227563753509068,0.0,0.0868019154918187,0.006691301564411891,0.11806128475719112,0.9490528908193685,0.006103515625001927,true,16,-1.4687040637201643,0.5,0.5,0.212563787,0.0
128,0.0,1.1,1.0,100.0,0.0,0.39666413707872117,-1.7911193496283895e-6,2.8855228451178053e-5,0.1975587064318956,-1.3877787807814457e-17,0.10717830173945231,0.009722850699023242,0.1575041473186912,0.929944070302946,0.0061035156250151676,true,16,-1.4565200573663821,0.5,0.5,0.212941574,0.0
128,0.0,1.2,1.0,100.0,0.0,0.39453767867980516,-2.9275717663007628e-6,4.3978748222881295e-5,0.21155729235403334,0.0,0.12433339446926706,0.013875183340086621,0.20934747340250576,0.8857480573756793,0.006103515625011649,true,16,-1.4450732493296778,0.5,0.5,0.214437457,0.0
128,0.0,1.3,1.0,100.0,0.0,0.392223248517474,-4.687014548032664e-6,6.639387869785025e-5,0.22439525470888755,1.3877787807814457e-17,0.1380389985283781,0.019496023857358744,0.2771195077484739,0.8274830518260057,0.0061035156250046465,true,16,-1.4343673127912686,0.5,0.5,0.213548644,0.0
128,0.0,1.4,1.0,100.0,0.0,0.38973762266322487,-7.372163477334381e-6,9.937206066617209e-5,0.23618685632943975,-6.938893903907228e-18,0.14830622025696627,0.027020091049862426,0.36519521401883465,0.7625186078791257,0.006103515625013047,true,16,-1.424400159259448,0.5,0.5,0.216892954,0.0
128,0.0,1.5,1.0,100.0,0.0,0.38709665874593363,-1.1418010497893372e-5,0.00014755261100287895,0.24703521591953503,0.0,0.155291556713677,0.036982904886026374,0.4789319661218734,0.6957104200842612,0.006103515625000452,true,16,-1.4151654108558076,0.5,0.5,0.211557344,0.0
128,0.0,1.6,1.0,100.0,0.0,0.3843355561582075,-2.4741556443830248e-5,0.000308418250068194,0.2569635690922407,-1.3877787807814457e-17,0.23717081356322556,0.07087580550072564,0.8858064510353185,0.9853146234274357,0.01220703125002082,true,15,-1.4066535178802078,0.5,0.5,0.19928697,0.0
128,0.0,1.7,1.0,100.0,0.0,0.38140726032323435,-2.6323641031930634e-5,0.00031828187100761945,0.2662599108056972,6.938893903907228e-18,0.1603687371289908,0.06694214222835007,0.8104517678910877,0.5680629935852499,0.006103515624985856,true,16,-1.3988525512505894,0.5,0.5,0.213972595,0.0
128,0.0,1.8,1.0,100.0,0.0,0.37837436423794035,-2.8860232146821208e-5,0.0003399797864514038,0.274820885960283,6.938893903907228e-18,0.10217444549986965,0.06514091634052693,0.7678529773762449,0.31661463259502476,0.0030517578125126726,true,17,-1.3917488543429457,0.5,0.5,0.226773808,0.0
128,0.0,1.9,1.0,100.0,0.0,0.37524601797458673,-3.26095231077822e-5,0.0003757252246885893,0.28272837589425803,2.7755575615628914e-17,0.0617776750172494,0.0652860097216138,0.752441981346005,0.17124438727222913,0.0015258789061704252,true,18,-1.3853275614600629,0.5,0.5,0.239231306,0.0
128,0.0,2.0,1.0,100.0,0.0,0.37203461841512275,-4.963823783686594e-5,0.0005612882931290957,0.29004206577019487,6.938893903907228e-18,0.05767703268344526,0.08802349024824985,0.9955559464714572,0.15019589220832685,0.0015258789062224058,true,18,-1.3795730609550505,0.5,0.5,0.239190956,0.0
128,0.0,2.1,1.0,100.0,0.0,0.36873913815107406,-4.555370104591949e-5,0.000507033175778715,0.2968413194736366,-6.938893903907228e-18,0.019354682688321745,0.07143586144797362,0.7951626930747472,0.04722650525912364,0.00038146972658315747,true,20,-1.3744685892045339,0.5,0.5,0.265242144,0.0
128,0.0,2.2,1.0,100.0,0.0,0.36537851987915443,-5.628427990750362e-5,0.0006182765911895167,0.30315117857446283,2.7755575615628914e-17,0.009756196765464686,0.07782061905490753,0.8548774733499699,0.025073982927614757,0.0001907348632404225,true,21,-1.3699978500965497,0.5,0.5,0.279240487,0.0
